crop,disease,causes,remedial_measures
apple,apple scab,"Apple scab is caused by the fungus Venturia inaequalis. It thrives in cool, wet conditions, spreading through spores carried by wind or rain, and overwinters in infected debris.","Prune infected branches, improve air circulation, and remove fallen leaves. Apply fungicides preventatively, starting before bud break. Select resistant apple varieties and practice good orchard sanitation."
apple,black rot,"Black rot, caused by the fungus Botryosphaeria obtusa, spreads through infected fruit and leaves, thriving in warm, wet weather. It overwinters in cankers on twigs and branches.",Remove and destroy infected plant material. Apply fungicides during the growing season and prune to improve air circulation. Practice orchard sanitation to reduce overwintering sites.
apple,cedar apple rust,"Cedar apple rust is caused by the fungus Gymnosporangium juniperi-virginianae, which requires both apple and cedar trees to complete its life cycle. Spores from cedar infect apple trees in moist conditions.",Remove nearby cedar trees if possible. Apply fungicides during apple's susceptible growth stages. Prune to improve air circulation and remove infected plant material.
cherry,powdery mildew,"Powdery mildew in cherries is caused by the fungus Podosphaera clandestina. It thrives in warm, dry conditions, spreading through spores carried by wind.","Apply fungicides preventatively, starting before symptoms appear. Prune to improve air circulation and remove infected plant parts. Avoid excessive nitrogen fertilization."
corn (maize),cercospora leaf spot gray leaf spot,"Cercospora leaf spot, caused by the fungus Cercospora zeae-maydis, thrives in warm, humid conditions. It spreads through infected crop residue and debris, as well as wind-driven rain or irrigation water.",Rotate crops to break disease cycles. Plant resistant corn varieties. Apply fungicides preventatively during periods of high disease pressure. Practice good sanitation by removing and destroying infected plant debris.
corn (maize),common rust,"Common rust, caused by the fungus Puccinia sorghi, spreads through airborne spores in warm, humid conditions. It overwinters on crop residue and alternate hosts.",Plant resistant corn varieties. Apply fungicides preventatively during the growing season. Practice crop rotation and remove infected debris to reduce overwintering sites.
corn (maize),northern leaf blight,"Northern leaf blight, caused by the fungus Exserohilum turcicum, thrives in warm, humid conditions. It spreads through wind-dispersed spores and overwinters in crop debris.","Plant resistant corn hybrids. Apply fungicides preventatively, especially during periods of high humidity and leaf wetness. Practice crop rotation and tillage to bury infected residue."
grape,black rot,"Black rot, caused by the fungus Guignardia bidwellii, infects grapevines during wet spring weather. Spores spread through rain and wind, and the disease overwinters in infected plant debris.",Prune grapevines to improve airflow and reduce moisture. Apply fungicides preventatively during the growing season. Remove and destroy infected plant material promptly.
grape,esca (black measles),"Bacterial spot, caused by Xanthomonas arboricola pv. pruni, infects peach trees through wounds or natural openings during warm, wet weather. It spreads through rain splash and+C10 wind.",Practice careful pruning to minimize wounds and avoid pruning during wet periods. Apply preventive fungicides to protect healthy tissue. Improve vineyard airflow and drainage to reduce humidity.
grape,leaf blight (isariopsis leaf spot),"Leaf blight, caused by the fungus Isariopsis indica, thrives in warm, humid conditions. It spreads through rain splash and wind, infecting grape leaves and clusters.","Apply fungicides preventatively, especially during periods of high humidity. Prune grapevines to improve airflow and reduce leaf wetness. Remove and destroy infected plant material."
orange,haunglongbing (citrus greening),"Huanlongbing, caused by the bacterium Candidatus Liberibacter asiaticus, is spread by Asian citrus psyllids. Infected trees show symptoms such as yellowing leaves, stunted growth, and bitter fruit.",Control psyllid populations with insecticides and biological control methods. Remove and destroy infected trees promptly. Plant certified disease-free citrus trees and monitor orchards regularly.
peach,bacterial spot,"Bacterial spot, caused by Xanthomonas arboricola pv. pruni, infects peach trees through wounds or natural openings during warm, wet weather. It spreads through rain splash and wind.",Apply copper-based fungicides preventatively during the growing season. Prune trees to improve airflow and reduce humidity. Remove and destroy infected plant material promptly.
"pepper, bell",bacterial spot,"Bacterial spot, caused by Xanthomonas spp., spreads through contaminated seeds, plant debris, and splashing water. Warm, humid conditions favor its development.",Plant disease-free seeds and transplants. Apply copper-based bactericides preventatively and rotate with non-susceptible crops. Remove and destroy infected plants promptly.
potato,early blight,"Early blight, caused by the fungus Alternaria solani, thrives in warm, humid conditions. It spreads through infected seed potatoes, plant debris, and wind-driven rain.","Rotate crops with non-solanaceous plants. Apply fungicides preventatively, especially during periods of high humidity. Remove and destroy infected plant material promptly."
potato,late blight,"Late blight, caused by the oomycete Phytophthora infestans, spreads rapidly in cool, moist conditions. It thrives during periods of high humidity and can overwinter in infected tubers.",Plant certified disease-free seed potatoes. Apply fungicides preventatively and maintain good airflow within the crop canopy. Remove and destroy infected plant material promptly.
squash,powdery mildew,"Powdery mildew, caused by various fungi including Podosphaera xanthii, thrives in warm, dry conditions. It spreads through airborne spores and can overwinter on crop debris.","Apply fungicides preventatively, especially during periods of high humidity. Plant resistant squash varieties. Remove and destroy infected plant material promptly."
strawberry,leaf scorch,"Leaf scorch, caused by the fungus Diplocarpon earlianum, spreads through splashing water and infected plant debris. It thrives in warm, humid conditions.",Apply fungicides preventatively during periods of high disease pressure. Practice good sanitation by removing and destroying infected leaves and debris. Plant disease-resistant strawberry cultivars.
tomato,bacterial spot,"Bacterial spot, caused by Xanthomonas spp., spreads through contaminated seeds, plant debris, and splashing water. Warm, humid conditions favor its development.",Plant disease-free seeds and transplants. Apply copper-based bactericides preventatively and rotate with non-susceptible crops. Remove and destroy infected plants promptly.
tomato,early blight,"Early blight, caused by the fungus Alternaria solani, spreads through infected plant debris, contaminated seeds, and wind-driven rain. Warm, humid conditions favor its development.","Rotate tomato crops with non-solanaceous plants. Apply fungicides preventatively, especially during periods of high humidity. Remove and destroy infected plant material promptly."
tomato,late blight,"Late blight, caused by the oomycete Phytophthora infestans, spreads rapidly in cool, moist conditions. It thrives during periods of high humidity and can overwinter in infected plant debris.",Plant certified disease-free tomato transplants. Apply fungicides preventatively and maintain good airflow within the crop canopy. Remove and destroy infected plant material promptly.
tomato,leaf mold,"Leaf mold, caused by the fungus Fulvia fulva (formerly Cladosporium fulvum), thrives in warm, humid conditions. It spreads through airborne spores and can overwinter on crop debris.","Provide good ventilation and spacing between tomato plants. Apply fungicides preventatively, especially during periods of high humidity. Remove and destroy infected plant material promptly."
tomato,septoria leaf spot,"Septoria leaf spot, caused by the fungus Septoria lycopersici, spreads through splashing water and infected plant debris. Warm, humid conditions favor its development.","Apply fungicides preventatively, especially during periods of high disease pressure. Practice good sanitation by removing and destroying infected leaves and debris. Rotate tomato crops with non-solanaceous plants."
tomato,spider mites two-spotted spider mite,"Two-spotted spider mites, including Tetranychus urticae, thrive in hot, dry conditions. They feed on plant sap, causing stippling and webbing on leaves.","Apply insecticidal soaps or miticides to control spider mite populations. Maintain adequate humidity levels and avoid over-fertilization, which can exacerbate mite infestations. Remove and destroy heavily infested plants."
tomato,target spot,"Target spot, caused by the fungus Corynespora cassiicola, spreads through wind-dispersed spores and infected plant debris. Warm, humid conditions favor its development.","Apply fungicides preventatively, especially during periods of high humidity. Practice good sanitation by removing and destroying infected leaves and debris. Rotate tomato crops with non-solanaceous plants."
tomato,tomato yellow leaf curl virus,"Tomato yellow leaf curl virus is transmitted by whiteflies (Bemisia tabaci) and affects tomato plants, causing yellowing, curling, and stunting of leaves.",Use insecticides to control whitefly populations. Plant virus-resistant tomato varieties. Remove and destroy infected plants to prevent further spread.
tomato,tomato mosaic virus,"Tomato mosaic virus is transmitted through contaminated seed, plant debris, and mechanical means. It causes mottling, distortion, and stunting of tomato plants.","Plant disease-free seeds and transplants. Control aphid and thrips populations, which can spread the virus. Remove and destroy infected plants promptly to prevent virus spread."
